Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
25/01/2018,2018,Jan,2846.24,2848.56,2830.94,2839.25,2839.25," 3,835,150,000 ",-0.002461918
26/01/2018,2018,Jan,2847.48,2872.87,2846.18,2872.87,2872.87," 3,443,230,000 ",0.008837852
29/01/2018,2018,Jan,2867.23,2870.62,2851.48,2853.53,2853.53," 3,573,830,000 ",-0.004801071
30/01/2018,2018,Jan,2832.74,2837.75,2818.27,2822.43,2822.43," 3,990,650,000 ",-0.003652881
31/01/2018,2018,Jan,2832.41,2839.26,2813.04,2823.81,2823.81," 4,261,280,000 ",-0.003045531
01/02/2018,2018,Feb,2816.45,2835.96,2812.7,2821.98,2821.98," 3,938,450,000 ",0.001959617
02/02/2018,2018,Feb,2808.92,2808.92,2759.97,2762.13,2762.13," 4,301,130,000 ",-0.016939825
05/02/2018,2018,Feb,2741.06,2763.39,2638.17,2648.94,2648.94," 5,283,460,000 ",-0.034776175
06/02/2018,2018,Feb,2614.78,2701.04,2593.07,2695.14,2695.14," 5,891,660,000 ",0.029816633
07/02/2018,2018,Feb,2690.95,2727.67,2681.33,2681.66,2681.66," 4,626,570,000 ",-0.003464272
08/02/2018,2018,Feb,2685.01,2685.27,2580.56,2581,2581," 5,305,440,000 ",-0.040298334
09/02/2018,2018,Feb,2601.78,2638.67,2532.69,2619.55,2619.55," 5,680,070,000 ",0.006783608
12/02/2018,2018,Feb,2636.75,2672.61,2622.45,2656,2656," 4,055,790,000 ",0.007247741
13/02/2018,2018,Feb,2646.27,2668.84,2637.08,2662.94,2662.94," 3,472,870,000 ",0.006259998
14/02/2018,2018,Feb,2651.21,2702.1,2648.87,2698.63,2698.63," 4,003,740,000 ",0.017571879
15/02/2018,2018,Feb,2713.46,2731.51,2689.82,2731.2,2731.2," 3,684,910,000 ",0.006495313
16/02/2018,2018,Feb,2727.14,2754.42,2725.11,2732.22,2732.22," 3,637,460,000 ",0.001859294
20/02/2018,2018,Feb,2722.99,2737.6,2706.76,2716.26,2716.26," 3,627,610,000 ",-0.002477672
21/02/2018,2018,Feb,2720.53,2747.75,2701.29,2701.33,2701.33," 3,779,400,000 ",-0.00710761
22/02/2018,2018,Feb,2710.42,2731.26,2697.77,2703.96,2703.96," 3,701,270,000 ",-0.002389089
23/02/2018,2018,Feb,2715.8,2747.76,2713.74,2747.3,2747.3," 3,189,190,000 ",0.011465803
26/02/2018,2018,Feb,2757.37,2780.64,2753.78,2779.6,2779.6," 3,424,650,000 ",0.007997554
27/02/2018,2018,Feb,2780.45,2789.15,2744.22,2744.28,2744.28," 3,745,080,000 ",-0.013180142
28/02/2018,2018,Feb,2753.78,2761.52,2713.54,2713.83,2713.83," 4,230,660,000 ",-0.014720893
01/03/2018,2018,Mar,2715.22,2730.89,2659.65,2677.67,2677.67," 4,503,970,000 ",-0.014023386
02/03/2018,2018,Mar,2658.89,2696.25,2647.32,2691.25,2691.25," 3,882,450,000 ",0.012024152
05/03/2018,2018,Mar,2681.06,2728.09,2675.75,2720.94,2720.94," 3,710,810,000 ",0.0146567
06/03/2018,2018,Mar,2730.18,2732.08,2711.26,2728.12,2728.12," 3,370,690,000 ",-0.000755099
07/03/2018,2018,Mar,2710.18,2730.6,2701.74,2726.8,2726.8," 3,393,270,000 ",0.006095056
08/03/2018,2018,Mar,2732.75,2740.45,2722.65,2738.97,2738.97," 3,212,320,000 ",0.002270927
09/03/2018,2018,Mar,2752.91,2786.57,2751.54,2786.57,2786.57," 3,364,100,000 ",0.012079366
12/03/2018,2018,Mar,2790.54,2796.98,2779.26,2783.02,2783.02," 3,185,020,000 ",-0.002702101
13/03/2018,2018,Mar,2792.31,2801.9,2758.68,2765.31,2765.31," 3,301,650,000 ",-0.009763824
14/03/2018,2018,Mar,2774.06,2777.11,2744.38,2749.48,2749.48," 3,391,360,000 ",-0.008939872
15/03/2018,2018,Mar,2754.27,2763.03,2741.47,2747.33,2747.33," 3,500,330,000 ",-0.002526089
16/03/2018,2018,Mar,2750.57,2761.85,2749.97,2752.01,2752.01," 5,372,340,000 ",0.000523254
19/03/2018,2018,Mar,2741.38,2741.38,2694.59,2712.92,2712.92," 3,302,130,000 ",-0.010490542
20/03/2018,2018,Mar,2715.05,2724.22,2710.05,2716.94,2716.94," 3,261,030,000 ",0.000695636
21/03/2018,2018,Mar,2714.99,2739.14,2709.79,2711.93,2711.93," 3,415,510,000 ",-0.001128348
22/03/2018,2018,Mar,2691.36,2695.68,2641.59,2643.69,2643.69," 3,739,800,000 ",-0.018031615
